NCBI_ID,Journal,Publishers,Country_of_Publication,Language,Description,eISSN,ISSN,Year_1st_Published,Journal_URL
101269322,AACN advanced critical care,American Association of Critical-Care Nurses (AACN),United States,eng, Title from cover. Official publication of the American Association of Critical-Care Nurses.,1559-7776,1559-7768,2006,https://aacnjournals.org/aacnacconline
0431420,AANA journal,American Association of Nurse Anesthetists,United States,eng, Official publication of the American Association of Nurse Anesthetists. Continues Journal of the American Association of Nurse Anesthetists.,2162-5239,0094-6354,1974,https://www.aana.com/publications/aana-journal
100911021,Advances in skin & wound care,Lippincott Williams & Wilkins,United States,eng, Title from cover.,1538-8654,1527-7941,2000,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00129334-000000000-00000
100901776,Assistenza infermieristica e ricerca : AIR,Il Pensiero Scientifico Editore,Italy,ita," Description based on: Vol. 18, n. 2 (apr.-giugno 1999); title from cover. Articles in Italian; summaries and table of contents also in English.",2038-1778,1592-5986,1999,http://www.air-online.it/
9207852,Australian critical care : official journal of the Confederation of Australian Critical Care Nurses,Confederation of Australian Critical Care Nurses,Australia,eng," Title from cover. Preceded by a ""Special edition"" issue released Sept. 1991. Continues: Confederation of Australian Critical Care Nurses journal.",,1036-7314,1992,http://www.sciencedirect.com/science/journal/10367314
9305903,The Australian journal of rural health,Wiley-Blackwell Publishing Asia,Australia,eng, Title from cover.,1440-1584,1038-5282,1992,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1440-1584
9815827,British journal of community nursing,MA Healthcare Ltd,England,eng," Description based on: Vol. 3, no. 6 (June 1998); title from cover. Supplements accompany some vols. Some issues include supplements with title: Wound care. Some issues include supplements with title: Exudate supplement.",,1462-4753,199u,http://www.magonlinelibrary.com/toc/bjcn/current
9212059,British journal of nursing (Mark Allen Publishing),MA Healthcare,England,eng, 22 issues per year. Title from cover. Absorbed: Surgical nurse.,,0966-0461,1992,http://www.magonlinelibrary.com/toc/bjon/current
8910581,The Canadian journal of nursing research = Revue canadienne de recherche en sciences infirmières,SAGE Publishing,United States,eng," Issues for spring 1988-   also have title of previous publication on cover. Print issues ceased with v. 45, no. 4 (Dec. 2013). Articles chiefly in English with some in French; summaries in the other language.",1705-7051,0844-5621,1988,http://journals.sagepub.com/home/cjn
9705336,Clinical journal of oncology nursing,Oncology Nursing Press,United States,eng, Title from cover. Issued by: Oncology Nursing Society.,1538-067X,1092-1095,1997,https://cjon.ons.org/archive
8709115,Clinical nurse specialist CNS,Lippincott Williams & Wilkins,United States,eng, Title from cover.,1538-9782,0887-6274,1987,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00002800-000000000-00000
9208508,Clinical nursing research,Sage Periodicals Press,United States,eng, Title from cover.,1552-3799,1054-7738,1992,http://cnr.sagepub.com/archive/
101225531,Complementary therapies in clinical practice,Elsevier,England,eng, Title from cover.,1873-6947,1744-3881,2005,http://www.sciencedirect.com/science/journal/17443881
101682864,Comprehensive child and adolescent nursing,Taylor & Francis Group,England,eng,,2469-4207,2469-4193,2016,http://www.tandfonline.com/loi/icpn20
9211867,Contemporary nurse,Taylor & Francis,United States,eng," Two issues, 1992; 5 issues, 1992/1993- . Title from cover.",1839-3535,1037-6178,1992,http://www.tandfonline.com/loi/rcnj20
9505022,Creative nursing,"Creative Nursing Management, Inc.",United States,eng," Description based on: Vol. 1, issue 3 (Jan./Feb. 1995); title from cover.",,1078-4535,1994,http://connect.springerpub.com/content/sgrcn
8207799,Critical care nurse,American Association of Critical-Care Nurses,United States,eng, Title from cover.,1940-8250,0279-5442,1980,https://aacnjournals.org/ccnonline
8912620,Critical care nursing clinics of North America,Elsevier Health Sciences Division,United States,eng, Issues have distinctive titles.,1558-3481,0899-5885,1989,http://www.sciencedirect.com/science/journal/08995885
8704517,Critical care nursing quarterly,Lippincott Williams & Wilkins,United States,eng," Title from cover. Place of publication varies. ""An Aspen publication."" Vol. 25, no. 4 (2002) never published. Continues: CCQ.  Critical care quarterly.",1550-5111,0887-9303,1987,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00002727-000000000-00000
7901092,Curationis,AOSIS Publishing,South Africa,afr," Print issues ceased with v. 33, no. 3 (2010). Vol. 33 no. 4 (2010) not published. Articles in Afrikaans or English.",2223-6279,0379-8577,1978,http://www.curationis.org.za/index.php/curationis/issue/archive
8211489,Dimensions of critical care nursing : DCCN,Lippincott Williams & Wilkins,United States,eng, Title from cover. Place of publication varies.,1538-8646,0730-4625,1982,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00003465-000000000-00000
9208913,Emergency nurse : the journal of the RCN Accident and Emergency Nursing Association,RCNi,England,eng," Twice a year. Title from cover. Carries vol. numbering of: Nursing standard, v. 6, no. 27-    .   Began its own vol. numbering with v. 1 in 1993?",2047-8984,1354-5752,1992,http://journals.rcni.com/journal/en
101778566,Enfermería intensiva,,,eng,,2529-9840,,2017,https://www.sciencedirect.com/journal/enfermeria-intensiva-english-ed
9301979,European journal of cancer care,Wiley,England,eng," Title from cover. Issued also in French, German, Italian, and Spanish. Print issues ceased with v. 21, no. 6 (2012).",1365-2354,0961-5423,1991,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2354
8915377,Gastroenterology nursing : the official journal of the Society of Gastroenterology Nurses and Associates,Lippincott Williams & Wilkins,United States,eng, Title from cover. Place of publication varies. Continues: SGA journal (Society of Gastrointestinal Assistants (U.S.)).,1538-9766,1042-895X,1989,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00001610-000000000-00000
8309633,"Geriatric nursing (New York, N.Y.)",Mosby-Yearbook,United States,eng, Title from cover. Place of publication varies.,1528-3984,0197-4572,1980,http://www.sciencedirect.com/science/journal/01974572
8411543,Health care for women international,Routledge,England,eng," Title from cover. Imprint varies. The journal of the International Council on Women's Health Issues, <1996->",1096-4665,0739-9332,1984,http://www.tandfonline.com/openurl?genre=journal&eissn=1096-4665
8702105,Holistic nursing practice,Lippincott Williams & Wilkins,United States,eng," Title from cover. Place of publication varies. ""An Aspen publication."" Only 5 issued published in 2002. Continues: Topics in clinical nursing.",1550-5138,0887-9311,1986,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00004650-000000000-00000
101650829,Home healthcare now,Lippincott Williams and Wilkins,United States,eng,,2374-4537,2374-4529,2015,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=01845097-000000000-00000
9211274,Intensive & critical care nursing,Elsevier,Netherlands,eng," Title from cover. 1992-1995: ""Official journal of the British Association of Critical Care Nurses.""",1532-4036,0964-3397,1992,http://www.sciencedirect.com/science/journal/09643397
101472191,International emergency nursing,Elsevier,England,eng, Description based on first issue; title from cover.,1878-013X,1755-599X,2008,http://www.sciencedirect.com/science/journal/1755599X
101140527,International journal of mental health nursing,Blackwell Pub.,Australia,eng, Title from cover. Official journal of the Australian and New Zealand College of Mental Health Nurses Inc.,1447-0349,1445-8330,2002,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1447-0349
101582422,International journal of nursing knowledge,Wiley,United States,eng, Print issues ceased with v. 23 (2012),2047-3095,2047-3087,2012,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)2047-3095/issues
9613615,International journal of nursing practice,Wiley,Australia,eng," Title from cover. Print issues ceased with v. 18, no. 6 (2012). Vol. 1 complete in one issue.",1440-172X,1322-7114,1995,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1440-172X
9506762,International journal of palliative nursing,MA Healthcare,England,eng, Title from cover. Print issues ceased with v. 26 (2020).,2052-286X,1357-6321,1995,http://www.magonlinelibrary.com/toc/ijpn/current
7907126,Issues in mental health nursing,Informa Healthcare,England,eng, Imprint varies. Supplements and updates: Comprehensive psychiatric nursing.,1096-4673,0161-2840,1978,http://www.tandfonline.com/loi/imhn20
101603887,Journal for nurses in professional development,Lippincott Williams & Wilkins,United States,eng," ""Influencing the learning and practice environments.""",2169-981X,2169-9798,2013,http://gateway.ovid.com/ovidweb.cgi?T=JS&MODE=ovid&NEWS=n&PAGE=toc&D=ovft&AN=01709760-201301000-00001
9431738,"Journal of child and adolescent psychiatric nursing : official publication of the Association of Child and Adolescent Psychiatric Nurses, Inc",Wiley,England,eng, Title from cover. Print issues ceased with 2013.,1744-6171,1073-6077,1994,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-6171
9806360,Journal of child health care : for professionals working with children in the hospital and community,Sage Publications,England,eng, Title from cover. Official journal of the Association of British Paediatric Nurses.,1741-2889,1367-4935,1997,http://chc.sagepub.com/archive/
8411743,Journal of Christian nursing : a quarterly publication of Nurses Christian Fellowship,Nurses Christian Fellowship,United States,eng," Title from cover. Vol. 1, no. 1 also called: Premier issue.",,0743-2550,1984,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=ovft&AN=00005217-000000000-00000
9207302,Journal of clinical nursing,Blackwell Scientific Publications,England,eng," Title from cover. Vols. for 2004-<2005> include separately paged issues with title: International journal of older people nursing, later published separately. Vols.for Mar. 2007- includes separately paged issues with title: Journal of nursing and healthcare of chronic illness.",1365-2702,0962-1067,1992,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2702
0262321,Journal of continuing education in nursing,"Charles B. Slack, inc.",United States,eng,,1938-2472,0022-0124,1970,http://www.healio.com/journals/jcen
7605913,Journal of emergency nursing,Mosby-Year Book,United States,eng," Bimonthly. Title from cover. Published: St. Louis, Mo. : C.V. Mosby, 1987?- . Issues for Jan./Feb.-Mar./Apr. 1975 have no vol. numbering but constitute v. 1, no. 1-2. Official publication of the Emergency Nurses Association, 1985?- .",1527-2966,0099-1767,1975,http://www.sciencedirect.com/science/journal/00991767
7510258,Journal of gerontological nursing,C. Slack.,United States,eng, Vols. for Feb. 1992-   have subtitle: For nursing care of older adults,,0098-9134,1975,http://www.healio.com/journals/jgn
8506709,Journal of holistic nursing : official journal of the American Holistic Nurses' Association,Sage Publications,United States,eng," Title from cover. Place of publication varies. Vol. 1, no. 1 called also: Founding issue.",1552-5724,0898-0101,1983,https://journals.sagepub.com/home/jhn
8709498,Journal of human lactation : official journal of International Lactation Consultant Association,Sage Publications,United States,eng," Description based on: Vol. 2, no. 2 (Sept. 1986); title from cover. Place of publication varies. Supplements accompany some vols.",1552-5732,0890-3344,1985,https://journals.sagepub.com/home/jhl
101124170,Journal of infusion nursing : the official publication of the Infusion Nurses Society,Lippincott Williams & Wilkins,United States,eng, Title from cover.,1539-0667,1533-1458,2001,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00129804-000000000-00000
9306050,Journal of nursing management,Blackwell Scientific Publications,England,eng, Bimonthly. Title from cover.,1365-2834,0966-0429,1993,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2834
8709735,Journal of pediatric health care : official publication of National Association of Pediatric Nurse Associates & Practitioners,Mosby,United States,eng, Title from cover.,1532-656X,0891-5245,1987,http://www.sciencedirect.com/science/journal/08915245
9610507,Journal of perianesthesia nursing : official journal of the American Society of PeriAnesthesia Nurses,W.B. Saunders Company,United States,eng, Title from cover.,1532-8473,1089-9472,1996,http://www.sciencedirect.com/science/journal/10899472
8801387,The Journal of perinatal & neonatal nursing,Lippincott Williams & Wilkins,United States,eng," Title from cover. Place of publication varies. Each issue has also a distinctive title. ""An Aspen publication.""",1550-5073,0893-2190,1987,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00005237-000000000-00000
101271023,Journal of perioperative practice,Sage in association with the Association for Perioperative Practice,England,eng," Description based on: Vol. 16, issue 2 (Feb. 2006); title from cover.",2515-7949,1750-4589,2006,http://journals.sagepub.com/home/ppj
9439514,Journal of psychiatric and mental health nursing,Blackwell Scientific Publications,England,eng, Title from cover.,1365-2850,1351-0126,1994,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1365-2850
101392167,Journal of renal care,Wiley-Blackwell,United States,eng," Imprint varies. Description based on: Journal 32, nr.4 (Oct./Dec. 2006) ; title from cover. Latest issue consulted: Journal 33, nr.2 (Apr./June 2007) Also published online  in Dutch, French, German, Italian, and Spanish eds. and in print for 2006 only.",1755-6686,1755-6678,2006,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1755-6686
9206498,The Journal of school nursing : the official publication of the National Association of School Nurses,Sage Publications,United States,eng, Imprint varies. Title from cover. Continues: School nurse.,1546-8364,1059-8405,1991,https://journals.sagepub.com/home/jsn
101600770,Journal of the American Association of Nurse Practitioners,Wolters Kluwer,United States,eng, Print issues ceased with v. 26 (2014).,2327-6924,2327-6886,2013,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=01741002-000000000-00000
9306822,Journal of tissue viability,Tissue Viability Society,England,eng," Description based on: Vol 2, no 1 (Jan. 1992); title from cover. Continues: Care (Salisbury, England).",,0965-206X,1991,http://www.sciencedirect.com/science/journal/0965206X
9001407,Journal of transcultural nursing : official journal of the Transcultural Nursing Society,Sage Publications,United States,eng," Title from cover. Imprint varies: Livonia, Mich. : Madonna University, College of Nursing and Health, <summer 1992-> ; Sage Publications, <1999->",1552-7832,1043-6596,1989,https://journals.sagepub.com/home/tcn
9512997,Journal of trauma nursing : the official journal of the Society of Trauma Nurses,Nursecom,United States,eng, Title from cover.,,1078-7496,1994,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00043860-000000000-00000
9014475,Journal of vascular nursing : official publication of the Society for Peripheral Vascular Nursing,Society For Peripheral Vascular Nursing,United States,eng, Title from cover. Continues: SPVN.,1532-6578,1062-0303,1990,http://www.sciencedirect.com/science/journal/10620303
9417080,Journal of wound care,MA Healthcare,England,eng," Description based on: Vol. 2, no. 3 (May 1993); title from cover.",,0969-0700,1992,http://www.magonlinelibrary.com/loi/jowc
9435679,"Journal of wound, ostomy, and continence nursing : official publication of The Wound, Ostomy and Continence Nurses Society",Mosby-Year Book,United States,eng, Title from cover.,1528-3976,1071-5754,1994,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00152192-000000000-00000
8510930,Midwifery,Churchill Livingstone,Scotland,eng,,1532-3099,0266-6138,1985,http://www.sciencedirect.com/science/journal/02666138
101528330,NASN school nurse (Print),Sage Publications,United States,eng," Latest issue consulted: Vol. 24, no.  2 (March 2009).",1942-6038,1942-602X,2008,http://nas.sagepub.com/
8503921,Neonatal network : NN,Springer Publishing Company,United States,eng," Title from caption. Official publication of the National Association of Neonatal Nurses, <June 1997- >; the Academy of Neonatal Nursing, <Mar./Apr. 2006->",1539-2880,0730-0832,1981,http://connect.springerpub.com/content/sgrnn
100909377,Nephrology nursing journal : journal of the American Nephrology Nurses' Association,The Association,United States,eng, Title from cover.,,1526-744X,2000,
8511379,Nurse education today,Churchill Livingstone,Scotland,eng," Description based on: Vol. 2, no. 1 (Feb. 1982); title from cover.",1532-2793,0260-6917,1981,http://www.sciencedirect.com/science/journal/02606917
7701902,Nurse educator,Lippincott Williams & Wilkins,United States,eng, Place of publication varies.,1538-9855,0363-3624,1976,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00006223-000000000-00000
9435953,Nurse researcher,RCNi,England,eng," ""A Nursing standard publication."" Some issues with distinctive title. Description based on: Vol. 1, no. 4 (June 1994); title from cover.",2047-8992,1351-5578,1993,http://journals.rcni.com/journal/nr
7600137,Nursing,"Lippincott, Williams & Wilkins",United States,eng," Issues for 1971-   carry a year designation in conjuction with the title, e.g. Nursing71, etc.",1538-8689,0360-4039,1971,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00152193-000000000-00000
7703976,Nursing administration quarterly,Lippincott Williams & Wilkins,United States,eng, Place of publication varies.,1550-5103,0363-9568,1976,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00006216-000000000-00000
101554473,Nursing children and young people,RCNi,England,eng, Title from cover.,2046-2344,2046-2336,2011,http://journals.rcni.com/loi/ncyp
101140025,Nursing education perspectives,National League for Nursing,United States,eng, Title from cover.,,1536-5026,2002,
9433357,Nursing ethics,SAGE Publications,England,eng," Title from cover. In English, with abstracts in English, French, and German.",1477-0989,0969-7330,1994,http://nej.sagepub.com/content/by/year
101304602,Nursing for women's health,New York,United States,eng," Title from cover. Latest issue consulted: Vol. 11, no. 2 (Apr./May 2007). Published on behalf of: the Association of Women's Health, Obstetric, and Neonatal Nurses (AWHONN).",1751-486X,1751-4851,2007,http://www.sciencedirect.com/science/journal/17514851
0401006,Nursing forum,Wiley,United States,eng,,1744-6198,0029-6473,1961,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-6198
9808649,Nursing in critical care,Wiley,England,eng," Description based on: Vol. 1, no. 4 (July/Aug. 1996); title from cover. Print issues ceased with v. 25 (2020).",1478-5153,1362-1017,1996,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1478-5153
9505881,Nursing inquiry,Wiley,Australia,eng, Title from cover. Print issues ceased with v. 19 (2012) Vol. 1 complete in one issue.,1440-1800,1320-7881,1994,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1440-1800
101470760,"Nursing leadership (Toronto, Ont.)",Longwoods Pub. Corp. [for the] Academy of Canadian Executive Nurses,Canada,eng," Title from cover. ""Leadership in nursing management, practice, education and research"". Latest issue consulted: Vol. 20, no. 4 (2007).",,1910-622X,2003,http://www.longwoods.com/home.php?cat=252
9433248,"Nursing management (Harrow, London, England : 1994)",RCNi,England,eng, Title from cover.,2047-8976,1354-5760,1994,http://journals.rcni.com/journal/nm
8219243,Nursing management,Springhouse Corporation,United States,eng," Description based on: v. 12, no. 10 (Oct. 1981) ; title from cover. Place of publication varies. Accompanying supplements also have distinctive titles. Beginning with Feb. 1999 issue absorbed: Recruitment, retention & restructuring report, which be included quarterly.",1538-8670,0744-6314,1981,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00006247-000000000-00000
101084156,Nursing older people,RCNi,England,eng, Title from cover.,2047-8941,1472-0795,2000,http://journals.rcni.com/journal/nop
8805022,Nursing science quarterly,Sage Publications,United States,eng, Title from cover. Place of publication varies.,1552-7409,0894-3184,1988,http://nsq.sagepub.com/archive/
9012906,Nursing standard (Royal College of Nursing (Great Britain) : 1987),RCNi,England,eng," Title from cover. Has numbered supplement: Nursing standard (Royal College of Nursing (Great Britain) : 1987).  Special supplement, Sept. 24, 1988- . Has supplement: Emergency nurse, Mar. 25, 1992- . Some issues have supplement with title: RCN nursing update, 1992- Some issues for 1992?-1995 have special sections with distinctive titles such as:  AIDS focus, Cardiology update, Tissue viability, etc., which are included in the pagination of the issue. Issue for week ending Sept. 12, 1987 lacks numbering but constitutes v. 1, issue 1. Vol. 1 complete in 3 issues, Sept. 12-Sept. 23, 1987; v. 2 begins with week ending Oct. 3, 1987. Unnumbered supplements accompany some issues. Published for the Royal College of Nursing. Absorbed: Tradimus.",2047-9018,0029-6570,1987,http://journals.rcni.com/loi/ns
8409486,Orthopedic nursing,National Association of Orthopaedic Nurses,United States,eng, Title from cover. Issue for 1981 contains proceedings of the National Association of Orthopedic Nursing Conference.,1542-538X,0744-6020,1982,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00006416-000000000-00000
8406280,Patient education and counseling,Elsevier,Ireland,eng, Title from cover. Place of publication varies.,1873-5134,0738-3991,1983,https://www.sciencedirect.com/journal/patient-education-and-counseling
101196674,Perspective infirmière : revue officielle de l'Ordre des infirmières et infirmiers du Québec,Ordre des infirmières et infirmiers du Québec,Canada,eng, Title from cover. In French; some text also in English.,,1708-1890,2003,
0401133,Perspectives in psychiatric care,Nursing Publications],United States,eng,,1744-6163,0031-5990,1963,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1744-6163
8907069,Pflege,Hans Huber,Switzerland,ger, Title from cover.,,1012-5302,1988,
8403490,Plastic surgical nursing : official journal of the American Society of Plastic and Reconstructive Surgical Nurses,Plastic Surgical Nursing,United States,eng, Title from cover.,1550-1841,0741-5206,1983,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00006527-000000000-00000
101291585,Professional case management,"Lippincott, Williams & Wilkins",United States,eng, Title from cover.,1932-8095,1932-8087,2007,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=01269241-000000000-00000
0244135,Professioni infermieristiche,Consociazione Nazionale delle Associazioni Infermiere/i,Italy,ita," Place of publication varies. Official organ of the Consociazione nazionale infermiere professionali, assistenti sanitarie visitatrici e vigilatrici d'infanzia. Continues the Bollettino d'informazioni of the Consociazione nazionale infermiere professionali e assistenti sanitarie visitatrici.",,0033-0205,1970,http://www.profinf.net/pro3/index.php/IN/index
100909380,"Progress in transplantation (Aliso Viejo, Calif.)",Sage,United States,eng," Title from cover. ""Journal for procurement and clinical transplant professionals.""",2164-6708,1526-9248,2000,http://journals.sagepub.com/home/pit
9715370,Recherche en soins infirmiers,Mallet Conseil,France,fre," Description based on: No 48 (mars 97); title from cover. Issued by ARSI, Association de recherche en soins infirmiers.",,0297-2964,1985,
8104825,Rehabilitation nursing : the official journal of the Association of Rehabilitation Nurses,Wolters Kluwer,United States,eng, Title from cover.,2048-7940,0278-4807,1981,http://ovidsp.ovid.com/ovidweb.cgi?T=JS&NEWS=n&CSC=Y&PAGE=toc&D=yrovft&AN=00006939-000000000-00000
7910105,Revista brasileira de enfermagem,Associacao Brasileira de Enfermagem,Brazil,por," Print issues ceased with v. 68, no. 6 (2015). Articles in Portuguese and English. Abstracts in Portuguese, English, and Spanish. Organ of the Associaçao Brasileira de Enfermagem. Continues Anais de enfermagem.",1984-0446,0034-7167,1955,http://www.scielo.br/scielo.php?script=sci_issues&pid=0034-7167&lng=en&nrm=iso
0242726,Revista da Escola de Enfermagem da U S P,"Universidade de São Paulo, Escola de Enfermagem",Brazil,por," Print issues ceased with . 50, no. 6 (2016).",1980-220X,0080-6234,1967,http://www.scielo.br/reeusp
8504882,Revista gaúcha de enfermagem,Escola de Enfermagem da Universidade Federal do Rio Grande e do Sul,Brazil,por," Description based on: V. 5, n. 1 (jan. 84); title from cover. Organ of the: Escola de Enfermagem da Universidade Federal do Rio Grande do Sul.",1983-1447,0102-6933,1979,http://www.seer.ufrgs.br/index.php/RevistaGauchadeEnfermagem
9420934,Revista latino-americana de enfermagem,"Escola de Enfermagem de Ribeirão Preto, Universidade de São Paulo",Brazil,eng," Title from cover. Print issues ceased with v. 22 (2014). Articles in Portuguese and Spanish; table of contents and summaries in Portuguese, Spanish, and English.  Search interface in English, Portuguese, and Spanish.",1518-8345,0104-1169,1993,http://www.scielo.br/scielo.php?script=sci_issues&pid=0104-1169&lng=en&nrm=iso
1267175,Revue de l'infirmière,Elsevier Masson,France,fre," Occasional issues for 1982-    called: Revue de l'infirmière.  Informations. Issues for 1981 have odd numbers only. Issued by the Croix-Rouge française (Fondatrice). Absorbed Revue de l'infirmière.  Informations, Jan. 1982.",,1293-8505,1971,
8804206,Scandinavian journal of caring sciences,Taylor & Francis,Sweden,eng," Title from cover. Place of publication varies. Print issues ceased with v. 29, no. 4 (Dec. 2015). Initiated by the Society: Nordic College of Caring Science.",1471-6712,0283-9318,1987,http://onlinelibrary.wiley.com/journal/10.1111/(ISSN)1471-6712
101775189,The science of diabetes self-management and care,,,eng, Official research publication of the Association of Diabetes Care and Education Specialists.,2635-0114,2635-0106,2021,http://tde.sagepub.com/
9616322,Soins. Gérontologie,Masson,France,fre, Title from cover.,,1268-6034,1996,
20910580R,Soins; la revue de référence infirmière,Masson.,France,fre," Issues for 1956-   have subtitle: Revue médicale des communautés religieuses. Published: SFIREC, Société française d'investissements, de recherches et de   communications, <1956->",,0038-0814,1956,
9604503,"Soins. Pédiatrie, puériculture",Masson,France,fre," Description based on surrogate of: No 167-169 (nov.-déc 1995); title from cover. Some issues combined. Continues: Soins. Gynécologie, obstétrique, puériculture, pédiatrie.",,1259-4792,1995,
8203334,Soins. Psychiatrie,Masson,France,fre, Description based on: 8 (mars 1981); title from cover.,,0241-6972,1980,
101266131,Women and birth : journal of the Australian College of Midwives,Elsevier,Netherlands,eng, Title from cover.,1878-1799,1871-5192,2006,http://www.sciencedirect.com/science/journal/18715192
101575677,Workplace health & safety,Sage,United States,eng,,2165-0969,2165-0799,2012,https://journals.sagepub.com/home/whs
101739664,Wound management & prevention,HMP,United States,eng,,2640-5245,2640-5237,2019,http://www.o-wm.com/archive
